"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Widget,Widget,5,Mini dachshund
Dog,Stella Bo Bella,Stella,6.5,Mutt
Cat,Meryl Streep,Merrill,8,Unknown
Dog,Tilly,Tills,13,Chocolate labrador
Cat,Pumpkin,Pumpkin,12,Unknown
Dog,Peter Peter Pumpkin Eater,Petey,5,Pit bull mix
Cat,Jacques,Jacques,12,Unknown
Dog,Remy,Rem,1,Unknown
Dog,Oreo,Oreo,7,Unknown
Dog,Ljus  (Swedish word for light),Ljus,0.3,Golden retriever
Dog,Bambi,Bambs,3,Unknown
Cat,Marie Curie,Marie,3,Unknown
Cat,Clarence,Clarence,12,Russian blue
Dog,Layla ‘The Tank’,Layla,3,Pit bull mix
Cat,Amber,Ambs,10,Tortie cat
Dog,Benny and the Jets,Ben,1,Mastiff/Great Dane
Dog,Milo,Milo,7,Bichon frise cross
Dog,Mocha,Mocha,3,Pit bull mix
Dog,Shadow,Shadow,15.5,Golden retriever
Cat,Little Bit,Skittles,10,Tabby cat
Dog,Luna,Luna,1,Great pyrenees
Cat,Garrison,Garrison,9,Russian blue
Dog,Cody,Baby,13,Black lab/cocker spaniel mix
Hamster,Hammy,Ham,1,Russian dwarf hamster
Cat,Zoey,Zoey,13,Cat
Dog,Oatmeal,Oatmeal,0.6,Golden retriever
Dog,Ginger,Nugget,10,Chihuahua
Cat,Lucy,Lucy,4,Russian blue
Dog,Starbuck Louise,Starbuck,4,Goldendoodle
Dog,Mocha Antoinette,Mocha,7,Mutt
Dog,Oscar,Oscar,10,Shepherd mix
Cat,Serena,Mouse Pie,17,Domestic long hair
Cat,Maxine Waters,Maxine,4,Unknown
Dog,Magnolia Mae,Noli,2.5,Great pyrenees
Dog,George Cooper,Georgie,2,Golden retriever
Dog,Cayenne,Cayenne,8,German shepherd
Cat,Pip,Pip,11,Tuxedo
Dog,Olive Oil,Olive,2,Australian shepherd
Rabbit,Iggy and Ziggy,Igs and Zigs,3,Lop 
Dog,Brook,Brookie,7,Golden retriever
Dog,Sparkie,Spark,4,Mutt
Dog,Max,Maxie,16,Cairn terrier
Dog,Howard,Howie,10,American Staffordshire Terrier mix
Cat,Samantha Bee,Sam,3,Tuxedo
Dog,Ella Fitzgerald,Ella,12,Heinz 57
Cat,Chanel,Teeny,6.5,Unknown
Fish,Commander Ambrose,The Commander,0.8,Betta fish
Dog,Josephine Bakes,Josie,5,Pit bull mix
Dog,Lennie,Lennie,2,Treeing Tennessee Brindle
Cat,Obsidian Jazz Paws,OJP,1,Feral
Cat,Scotty,Scotty,8,Domestic short hair
Cat,Macallan,Mac,8,Unknown
Dog,Cody James,Buddy,1.5,Golden retriever
Dog,Jake,Jake,2,Golden retriever
