,High skilled,Filter1,Medium skilled,Filter2,Low skilled,Filter3,Total
Luxembourg,10.6,39.4,25.2,24.8,44.8,5.2,80.6
Ireland,11.6,38.4,27.6,22.4,25.9,24.1,65.1
Hungary,17,33,25.6,24.4,16.6,33.4,59.2
Iceland,9.2,40.8,23.1,26.9,24.2,25.8,56.5
Slovak Republic,14.7,35.3,27.6,22.4,13.8,36.2,56.1
Czech Republic,13.1,36.9,25.1,24.9,17.3,32.7,55.5
Slovenia,11,39,23.1,26.9,20.4,29.6,54.5
Estonia,14.9,35.1,21.2,28.8,18.2,31.8,54.3
Switzerland,4.5,45.5,20,30,24.7,25.3,49.2
Belgium,11,39,16.4,33.6,19.6,30.4,47
Denmark,11.3,38.7,16.5,33.5,16.9,33.1,44.7
Sweden,9.3,40.7,14.7,35.3,20.4,29.6,44.4
Netherlands,8.2,41.8,18.3,31.7,17.8,32.2,44.3
Poland,10.4,39.6,19.7,30.3,13.6,36.4,43.7
Latvia,11,39,17.5,32.5,14.7,35.3,43.2
Austria,7.6,42.4,19.9,30.1,15,35,42.5
Portugal,10.8,39.2,19,31,12.7,37.3,42.5
Germany,7.3,42.7,20,30,14.4,35.6,41.7
Finland,7.9,42.1,14.3,35.7,16.9,33.1,39.1
Korea (2012),10.8,39.2,19.6,30.4,8.3,41.7,38.7
Spain,9.3,40.7,17.3,32.7,10.3,39.7,36.9
Norway,6.6,43.4,13.2,36.8,16,34,35.8
Italy,7.1,42.9,16.4,33.6,11.7,38.3,35.2
France,6.8,43.2,11.6,38.4,13.7,36.3,32.1
Greece,7.2,42.8,15.7,34.3,7.6,42.4,30.5
United Kingdom,5.2,44.8,11.1,38.9,14.2,35.8,30.5
Canada,6.9,43.1,9.2,40.8,10.7,39.3,26.8
Turkey,6,44,12.8,37.2,4.5,45.5,23.3
Australia (2011),6.3,43.7,10,40,4.4,45.6,20.7
Japan,5.8,44.2,8.8,41.2,4.3,45.7,18.9
United States,3.3,46.7,5.8,44.2,5.6,44.4,14.7
