Series ID,Year,Period,Label,Value
APU0000703112,2018,M01,2018 Jan,3.641
APU0000703112,2018,M02,2018 Feb,3.642
APU0000703112,2018,M03,2018 Mar,3.657
APU0000703112,2018,M04,2018 Apr,3.730
APU0000703112,2018,M05,2018 May,3.685
APU0000703112,2018,M06,2018 Jun,3.729
APU0000703112,2018,M07,2018 Jul,3.745
APU0000703112,2018,M08,2018 Aug,3.792
APU0000703112,2018,M09,2018 Sep,3.743
APU0000703112,2018,M10,2018 Oct,3.714
APU0000703112,2018,M11,2018 Nov,3.781
APU0000703112,2018,M12,2018 Dec,3.725
APU0000703112,2019,M01,2019 Jan,3.801
APU0000703112,2019,M02,2019 Feb,3.758
APU0000703112,2019,M03,2019 Mar,3.725
APU0000703112,2019,M04,2019 Apr,3.775
APU0000703112,2019,M05,2019 May,3.822
APU0000703112,2019,M06,2019 Jun,3.812
APU0000703112,2019,M07,2019 Jul,3.800
APU0000703112,2019,M08,2019 Aug,3.819
APU0000703112,2019,M09,2019 Sep,3.851
APU0000703112,2019,M10,2019 Oct,3.841
APU0000703112,2019,M11,2019 Nov,3.812
APU0000703112,2019,M12,2019 Dec,3.862
APU0000703112,2020,M01,2020 Jan,3.886
APU0000703112,2020,M02,2020 Feb,3.865
APU0000703112,2020,M03,2020 Mar,3.881
APU0000703112,2020,M04,2020 Apr,4.052
APU0000703112,2020,M05,2020 May,4.461
APU0000703112,2020,M06,2020 Jun,4.737
APU0000703112,2020,M07,2020 Jul,4.264
APU0000703112,2020,M08,2020 Aug,4.177
APU0000703112,2020,M09,2020 Sep,4.076
APU0000703112,2020,M10,2020 Oct,4.008
