Series ID,Year,Period,Label,Value
APU0000FC1101,2018,M01,2018 Jan,4.068
APU0000FC1101,2018,M02,2018 Feb,4.070
APU0000FC1101,2018,M03,2018 Mar,4.099
APU0000FC1101,2018,M04,2018 Apr,4.155
APU0000FC1101,2018,M05,2018 May,4.079
APU0000FC1101,2018,M06,2018 Jun,4.115
APU0000FC1101,2018,M07,2018 Jul,4.149
APU0000FC1101,2018,M08,2018 Aug,4.155
APU0000FC1101,2018,M09,2018 Sep,4.120
APU0000FC1101,2018,M10,2018 Oct,4.091
APU0000FC1101,2018,M11,2018 Nov,4.166
APU0000FC1101,2018,M12,2018 Dec,4.139
APU0000FC1101,2019,M01,2019 Jan,4.173
APU0000FC1101,2019,M02,2019 Feb,4.169
APU0000FC1101,2019,M03,2019 Mar,4.138
APU0000FC1101,2019,M04,2019 Apr,4.198
APU0000FC1101,2019,M05,2019 May,4.277
APU0000FC1101,2019,M06,2019 Jun,4.231
APU0000FC1101,2019,M07,2019 Jul,4.258
APU0000FC1101,2019,M08,2019 Aug,4.249
APU0000FC1101,2019,M09,2019 Sep,4.209
APU0000FC1101,2019,M10,2019 Oct,4.262
APU0000FC1101,2019,M11,2019 Nov,4.241
APU0000FC1101,2019,M12,2019 Dec,4.300
APU0000FC1101,2020,M01,2020 Jan,4.343
APU0000FC1101,2020,M02,2020 Feb,4.298
APU0000FC1101,2020,M03,2020 Mar,4.355
APU0000FC1101,2020,M04,2020 Apr,4.556
APU0000FC1101,2020,M05,2020 May,4.931
APU0000FC1101,2020,M06,2020 Jun,5.291
APU0000FC1101,2020,M07,2020 Jul,4.840
APU0000FC1101,2020,M08,2020 Aug,4.640
APU0000FC1101,2020,M09,2020 Sep,4.547
APU0000FC1101,2020,M10,2020 Oct,4.552
