Series ID,Year,Period,Label,Value
APU0000702111,2018,M01,2018 Jan,1.281
APU0000702111,2018,M02,2018 Feb,1.265
APU0000702111,2018,M03,2018 Mar,1.309
APU0000702111,2018,M04,2018 Apr,1.281
APU0000702111,2018,M05,2018 May,1.293
APU0000702111,2018,M06,2018 Jun,1.279
APU0000702111,2018,M07,2018 Jul,1.293
APU0000702111,2018,M08,2018 Aug,1.302
APU0000702111,2018,M09,2018 Sep,1.288
APU0000702111,2018,M10,2018 Oct,1.277
APU0000702111,2018,M11,2018 Nov,1.274
APU0000702111,2018,M12,2018 Dec,1.290
APU0000702111,2019,M01,2019 Jan,1.274
APU0000702111,2019,M02,2019 Feb,1.282
APU0000702111,2019,M03,2019 Mar,1.261
APU0000702111,2019,M04,2019 Apr,1.285
APU0000702111,2019,M05,2019 May,1.289
APU0000702111,2019,M06,2019 Jun,1.280
APU0000702111,2019,M07,2019 Jul,1.281
APU0000702111,2019,M08,2019 Aug,1.275
APU0000702111,2019,M09,2019 Sep,1.296
APU0000702111,2019,M10,2019 Oct,1.325
APU0000702111,2019,M11,2019 Nov,1.361
APU0000702111,2019,M12,2019 Dec,1.363
APU0000702111,2020,M01,2020 Jan,1.351
APU0000702111,2020,M02,2020 Feb,1.375
APU0000702111,2020,M03,2020 Mar,1.374
APU0000702111,2020,M04,2020 Apr,1.406
APU0000702111,2020,M05,2020 May,1.412
APU0000702111,2020,M06,2020 Jun,1.474
APU0000702111,2020,M07,2020 Jul,1.485
APU0000702111,2020,M08,2020 Aug,1.495
APU0000702111,2020,M09,2020 Sep,1.492
APU0000702111,2020,M10,2020 Oct,1.503
