Series ID,Year,Period,Label,Value
APU0000706111,2018,M01,2018 Jan,1.509
APU0000706111,2018,M02,2018 Feb,1.478
APU0000706111,2018,M03,2018 Mar,1.502
APU0000706111,2018,M04,2018 Apr,1.511
APU0000706111,2018,M05,2018 May,1.523
APU0000706111,2018,M06,2018 Jun,1.514
APU0000706111,2018,M07,2018 Jul,1.519
APU0000706111,2018,M08,2018 Aug,1.511
APU0000706111,2018,M09,2018 Sep,1.487
APU0000706111,2018,M10,2018 Oct,1.444
APU0000706111,2018,M11,2018 Nov,1.501
APU0000706111,2018,M12,2018 Dec,1.466
APU0000706111,2019,M01,2019 Jan,1.473
APU0000706111,2019,M02,2019 Feb,1.486
APU0000706111,2019,M03,2019 Mar,1.468
APU0000706111,2019,M04,2019 Apr,1.463
APU0000706111,2019,M05,2019 May,1.479
APU0000706111,2019,M06,2019 Jun,1.590
APU0000706111,2019,M07,2019 Jul,1.562
APU0000706111,2019,M08,2019 Aug,1.514
APU0000706111,2019,M09,2019 Sep,1.487
APU0000706111,2019,M10,2019 Oct,1.538
APU0000706111,2019,M11,2019 Nov,1.430
APU0000706111,2019,M12,2019 Dec,1.450
APU0000706111,2020,M01,2020 Jan,1.409
APU0000706111,2020,M02,2020 Feb,1.362
APU0000706111,2020,M03,2020 Mar,1.400
APU0000706111,2020,M04,2020 Apr,1.571
APU0000706111,2020,M06,2020 Jun,1.747
APU0000706111,2020,M07,2020 Jul,1.712
APU0000706111,2020,M08,2020 Aug,1.609
APU0000706111,2020,M09,2020 Sep,1.542
APU0000706111,2020,M10,2020 Oct,1.580
