Date,monthly_crude_oil_production_perday,stock_level
Jan-18,10,420.8
Feb-18,10.26,423.8
Mar-18,10.49,424.9
Apr-18,10.5,436.6
May-18,10.46,434.2
Jun-18,10.6,415.2
Jul-18,10.9,409.6
Aug-18,11.38,407.6
Sep-18,11.46,416.7
Oct-18,11.55,433.8
Nov-18,11.91,449.4
Dec-18,12,442.5
Jan-19,11.87,449
Feb-19,11.68,451.7
Mar-19,11.94,458.9
Apr-19,12.13,469.8
May-19,12.16,481.1
Jun-19,12.09,463.4
Jul-19,11.82,441.6
Aug-19,12.42,430.1
Sep-19,12.5,425.6
Oct-19,12.67,443.4
Nov-19,12.86,445.9
Dec-19,12.8,432.8
Jan-20,12.75,442.8
Feb-20,12.75,454.2
Mar-20,12.74,482.5
Apr-20,12.01,529.2
May-20,10.02,521
Jun-20,10.44,531.9
Jul-20,10.98,519.3
Aug-20,10.58,504
Sep-20,11.25,492.9
Oct-20,10.79,484.8
