Series ID,Year,Period,Label,Value
APU000072511,2018,M01,2018 Jan,2.902
APU000072511,2018,M02,2018 Feb,2.856
APU000072511,2018,M03,2018 Mar,2.827
APU000072511,2018,M04,2018 Apr,2.875
APU000072511,2018,M05,2018 May,3.132
APU000072511,2018,M06,2018 Jun,3.132
APU000072511,2018,M07,2018 Jul,3.220
APU000072511,2018,M08,2018 Aug,3.229
APU000072511,2018,M09,2018 Sep,3.279
APU000072511,2018,M10,2018 Oct,3.381
APU000072511,2018,M11,2018 Nov,3.286
APU000072511,2018,M12,2018 Dec,2.951
APU000072511,2019,M01,2019 Jan,2.934
APU000072511,2019,M02,2019 Feb,3.030
APU000072511,2019,M03,2019 Mar,3.050
APU000072511,2019,M04,2019 Apr,3.103
APU000072511,2019,M05,2019 May,3.030
APU000072511,2019,M06,2019 Jun,2.946
APU000072511,2019,M07,2019 Jul,2.932
APU000072511,2019,M08,2019 Aug,2.870
APU000072511,2019,M09,2019 Sep,2.894
APU000072511,2019,M10,2019 Oct,3.008
APU000072511,2019,M11,2019 Nov,2.984
APU000072511,2019,M12,2019 Dec,3.035
APU000072511,2020,M01,2020 Jan,3.052
APU000072511,2020,M02,2020 Feb,2.812
APU000072511,2020,M03,2020 Mar,2.405
APU000072511,2020,M04,2020 Apr,2.044
APU000072511,2020,M05,2020 May,1.905
APU000072511,2020,M06,2020 Jun,2.057
APU000072511,2020,M07,2020 Jul,2.134
APU000072511,2020,M08,2020 Aug,2.161
APU000072511,2020,M09,2020 Sep,2.123
APU000072511,2020,M10,2020 Oct,2.139
