Series ID,Year,Period,Label,Value
APU000074714,2018,M01,2018 Jan,2.539
APU000074714,2018,M02,2018 Feb,2.575
APU000074714,2018,M03,2018 Mar,2.572
APU000074714,2018,M04,2018 Apr,2.737
APU000074714,2018,M05,2018 May,2.907
APU000074714,2018,M06,2018 Jun,2.914
APU000074714,2018,M07,2018 Jul,2.873
APU000074714,2018,M08,2018 Aug,2.862
APU000074714,2018,M09,2018 Sep,2.873
APU000074714,2018,M10,2018 Oct,2.887
APU000074714,2018,M11,2018 Nov,2.671
APU000074714,2018,M12,2018 Dec,2.414
APU000074714,2019,M01,2019 Jan,2.289
APU000074714,2019,M02,2019 Feb,2.353
APU000074714,2019,M03,2019 Mar,2.564
APU000074714,2019,M04,2019 Apr,2.835
APU000074714,2019,M05,2019 May,2.901
APU000074714,2019,M06,2019 Jun,2.752
APU000074714,2019,M07,2019 Jul,2.776
APU000074714,2019,M08,2019 Aug,2.655
APU000074714,2019,M09,2019 Sep,2.630
APU000074714,2019,M10,2019 Oct,2.673
APU000074714,2019,M11,2019 Nov,2.620
APU000074714,2019,M12,2019 Dec,2.587
APU000074714,2020,M01,2020 Jan,2.567
APU000074714,2020,M02,2020 Feb,2.465
APU000074714,2020,M03,2020 Mar,2.267
APU000074714,2020,M04,2020 Apr,1.876
APU000074714,2020,M05,2020 May,1.879
APU000074714,2020,M06,2020 Jun,2.076
APU000074714,2020,M07,2020 Jul,2.176
APU000074714,2020,M08,2020 Aug,2.177
APU000074714,2020,M09,2020 Sep,2.193
APU000074714,2020,M10,2020 Oct,2.159
