Series ID,Year,Period,Label,Value
APU0000703111,2018,M01,2018 Jan,3.668
APU0000703111,2018,M02,2018 Feb,3.659
APU0000703111,2018,M03,2018 Mar,3.728
APU0000703111,2018,M04,2018 Apr,3.775
APU0000703111,2018,M05,2018 May,3.688
APU0000703111,2018,M06,2018 Jun,3.824
APU0000703111,2018,M07,2018 Jul,3.786
APU0000703111,2018,M08,2018 Aug,3.738
APU0000703111,2018,M09,2018 Sep,3.701
APU0000703111,2018,M10,2018 Oct,3.692
APU0000703111,2018,M11,2018 Nov,3.745
APU0000703111,2018,M12,2018 Dec,3.709
APU0000703111,2019,M01,2019 Jan,3.727
APU0000703111,2019,M02,2019 Feb,3.847
APU0000703111,2019,M03,2019 Mar,3.831
APU0000703111,2019,M04,2019 Apr,3.907
APU0000703111,2019,M05,2019 May,4.023
APU0000703111,2019,M06,2019 Jun,3.951
APU0000703111,2019,M07,2019 Jul,4.001
APU0000703111,2019,M08,2019 Aug,4.019
APU0000703111,2019,M09,2019 Sep,3.885
APU0000703111,2019,M10,2019 Oct,4.027
APU0000703111,2019,M11,2019 Nov,3.993
APU0000703111,2019,M12,2019 Dec,4.066
APU0000703111,2020,M01,2020 Jan,4.100
APU0000703111,2020,M02,2020 Feb,4.033
APU0000703111,2020,M03,2020 Mar,4.108
APU0000703111,2020,M04,2020 Apr,4.343
APU0000703111,2020,M05,2020 May,4.789
APU0000703111,2020,M06,2020 Jun,5.330
APU0000703111,2020,M07,2020 Jul,4.732
APU0000703111,2020,M08,2020 Aug,4.307
APU0000703111,2020,M09,2020 Sep,4.165
APU0000703111,2020,M10,2020 Oct,4.212
